Zugelassene Kraftfahrzeuge (absolut und pro 1.000 EinwohnerInnen) zu Jahresende seit 2002 - Bezirke Wien | Registered vehicles (absolute and per 1.000 inhabitants) at the end of the year since 2002 - districts of Vienna;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;PKW_VALUE;BUS_VALUE;LKW_VALUE;TRA_VALUE;OTH_VALUE;BIK_VALUE;PKW_DENSITY;BUS_DENSITY;LKW_DENSITY;TRA_DENSITY;OTH_DENSITY;BIK_DENSITY
AT13;90000;90000;2002;20021231;647.382;3.641;58.132;3.212;4.993;67.505;409,00;2,30;36,73;2,03;3,15;42,65
AT13;90100;90100;2002;20021231;15.892;124;1.564;90;270;880;902,95;7,05;88,86;5,11;15,34;50,00
AT13;90200;90200;2002;20021231;30.927;8;2.118;70;195;3.136;345,52;0,09;23,66;0,78;2,18;35,04
AT13;90300;90300;2002;20021231;35.351;333;3.562;217;462;3.032;429,54;4,05;43,28;2,64;5,61;36,84
AT13;90400;90400;2002;20021231;13.247;190;1.203;61;132;1.090;453,35;6,50;41,17;2,09;4,52;37,30
AT13;90500;90500;2002;20021231;18.144;2;1.854;221;194;1.780;361,60;0,04;36,95;4,40;3,87;35,47
AT13;90600;90600;2002;20021231;11.852;8;975;43;87;1.205;412,63;0,28;33,95;1,50;3,03;41,95
AT13;90700;90700;2002;20021231;11.474;6;985;22;68;1.189;396,28;0,21;34,02;0,76;2,35;41,06
AT13;90800;90800;2002;20021231;8.952;7;700;14;48;922;394,40;0,31;30,84;0,62;2,11;40,62
AT13;90900;90900;2002;20021231;16.519;4;1.332;17;103;1.523;432,26;0,10;34,86;0,44;2,70;39,85
AT13;91000;91000;2002;20021231;59.194;20;4.164;241;345;5.794;382,64;0,13;26,92;1,56;2,23;37,45
AT13;91100;91100;2002;20021231;31.255;1;2.553;240;175;3.611;391,57;0,01;31,98;3,01;2,19;45,24
AT13;91200;91200;2002;20021231;29.470;33;2.303;115;153;2.971;369,90;0,41;28,91;1,44;1,92;37,29
AT13;91300;91300;2002;20021231;23.152;2;1.025;78;169;2.189;458,26;0,04;20,29;1,54;3,35;43,33
AT13;91400;91400;2002;20021231;31.956;10;1.874;89;217;3.405;401,37;0,13;23,54;1,12;2,73;42,77
AT13;91500;91500;2002;20021231;22.631;5;2.272;100;255;2.239;333,85;0,07;33,52;1,48;3,76;33,03
AT13;91600;91600;2002;20021231;30.917;3;2.441;80;199;3.312;348,50;0,03;27,52;0,90;2,24;37,33
AT13;91700;91700;2002;20021231;18.148;1;1.397;67;127;1.909;369,47;0,02;28,44;1,36;2,59;38,86
AT13;91800;91800;2002;20021231;18.021;12;987;28;91;1.885;393,87;0,26;21,57;0,61;1,99;41,20
AT13;91900;91900;2002;20021231;28.740;2;1.676;167;136;2.692;436,81;0,03;25,47;2,54;2,07;40,91
AT13;92000;92000;2002;20021231;25.987;421;1.458;49;108;2.368;334,41;5,42;18,76;0,63;1,39;30,47
AT13;92100;92100;2002;20021231;53.840;42;3.254;301;329;6.029;411,65;0,32;24,88;2,30;2,52;46,10
AT13;92200;92200;2002;20021231;60.036;24;3.424;498;478;7.185;431,08;0,17;24,59;3,58;3,43;51,59
AT13;92300;92300;2002;20021231;44.389;152;5.036;327;405;4.216;515,04;1,76;58,43;3,79;4,70;48,92
AT13;90000;90000;2003;20031231;652.418;3.602;58.396;3.282;4.907;68.358;407,54;2,25;36,48;2,05;3,07;42,70
AT13;90100;90100;2003;20031231;15.837;96;1.550;139;269;887;908,10;5,50;88,88;7,97;15,42;50,86
AT13;90200;90200;2003;20031231;31.453;9;2.105;71;184;3.192;348,17;0,10;23,30;0,79;2,04;35,33
AT13;90300;90300;2003;20031231;35.961;365;3.880;233;448;3.055;436,01;4,43;47,04;2,83;5,43;37,04
AT13;90400;90400;2003;20031231;13.186;158;1.155;62;130;1.105;449,09;5,38;39,34;2,11;4,43;37,63
AT13;90500;90500;2003;20031231;18.121;1;1.814;235;188;1.832;357,52;0,02;35,79;4,64;3,71;36,14
AT13;90600;90600;2003;20031231;11.757;6;936;49;88;1.219;408,09;0,21;32,49;1,70;3,05;42,31
AT13;90700;90700;2003;20031231;11.447;6;938;22;59;1.191;394,74;0,21;32,35;0,76;2,03;41,07
AT13;90800;90800;2003;20031231;8.928;5;674;11;43;967;383,55;0,21;28,96;0,47;1,85;41,54
AT13;90900;90900;2003;20031231;16.524;1;1.316;23;102;1.548;428,87;0,03;34,16;0,60;2,65;40,18
