NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;BICYCLE;BIKESHARING;BY_FOOT;CAR;CARSHARING;MOTORBIKE;PUBLIC_TRANSPORT
AT1;AT13;AT130;90001;0;2005;2022;3,00;0,00;28,00;34,00;0,00;1,00;34,00
AT1;AT13;AT130;90001;0;2006;2022;4,00;0,00;27,00;34,00;0,00;0,00;35,00
AT1;AT13;AT130;90001;0;2007;2022;5,00;0,00;28,00;32,00;0,00;0,00;35,00
AT1;AT13;AT130;90001;0;2008;2022;5,00;0,00;27,00;33,00;0,00;0,00;35,00
AT1;AT13;AT130;90001;0;2009;2022;5,50;0,00;26,60;32,10;0,00;0,40;35,40
AT1;AT13;AT130;90001;0;2010;2022;4,60;0,00;28,40;30,50;0,00;0,40;36,10
AT1;AT13;AT130;90001;0;2011;2022;5,60;0,00;28,30;28,50;0,00;0,40;37,20
AT1;AT13;AT130;90001;0;2012;2022;6,30;0,00;27,50;26,80;0,00;0,10;39,40
AT1;AT13;AT130;90001;0;2013;2022;6,40;0,00;27,00;27,20;0,00;0,20;39,20
AT1;AT13;AT130;90001;0;2014;2022;7,10;0,00;26,10;27,10;0,00;0,50;39,10
AT1;AT13;AT130;90001;0;2015;2022;6,80;0,00;27,30;26,70;0,00;0,20;38,90
AT1;AT13;AT130;90001;0;2016;2022;7,00;0,10;27,10;27,00;0,20;0,30;38,60
AT1;AT13;AT130;90001;0;2017;2022;6,50;0,10;28,40;26,90;0,00;0,50;37,60
AT1;AT13;AT130;90001;0;2018;2022;6,90;0,00;26,30;28,30;0,10;0,50;37,80
AT1;AT13;AT130;90001;0;2019;2022;7,10;0,00;27,70;26,70;0,20;0,30;38,00
AT1;AT13;AT130;90001;0;2020;2022;8,60;0,00;37,10;26,90;0,00;0,50;26,80
AT1;AT13;AT130;90001;0;2021;2022;9,40;0,00;34,50;25,80;0,10;0,40;29,60
AT1;AT13;AT130;90001;0;2022;2022;9,00;0,00;35,00;25,00;0,00;1,00;30,00
