DATE,ZNR,ZNAME,BEZIRK,BEZIRK_NAME,LONGITUDE,LATITUDE,DTVMS,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet,DTVMS_ensemble,ISTCOVID19,POP,AUSPENDLER,PKW_DENSITY,CAR,PUBLIC_TRANSPORT,BY_FOOT,BIKE
2016-01-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,33645.0,,,,33645.0,33645.0,33645.0,33645.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-02-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,36981.0,,,,36981.0,36981.0,36981.0,36981.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-03-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,39057.0,,,,39057.0,39057.0,39057.0,39057.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-04-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,41570.0,,,,41570.0,41570.0,41570.0,41570.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-05-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,37195.0,,,,37195.0,37195.0,37195.0,37195.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-06-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,41166.0,,,,41166.0,41166.0,41166.0,41166.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-07-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,39820.0,,,,39820.0,39820.0,39820.0,39820.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-08-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,40002.0,,,,40002.0,40002.0,40002.0,40002.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-09-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,40510.0,,,,40510.0,40510.0,40510.0,40510.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-10-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,38495.0,,,,38495.0,38495.0,38495.0,38495.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-11-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,39434.0,,,,39434.0,39434.0,39434.0,39434.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2016-12-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,36660.0,,,,36660.0,36660.0,36660.0,36660.0,0.0,180272.0,0.105,433.11,0.2741774675972082,0.3848454636091724,0.2701894317048853,0.0707876370887337
2017-01-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,33428.0,,,,33428.0,33428.0,33428.0,33428.0,0.0,184188.0,0.106,433.02,0.2739999999999999,0.376,0.284,0.066
2017-02-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,36007.0,,,,36007.0,36007.0,36007.0,36007.0,0.0,184188.0,0.106,433.02,0.2739999999999999,0.376,0.284,0.066
2017-03-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,40709.0,,,,40709.0,40709.0,40709.0,40709.0,0.0,184188.0,0.106,433.02,0.2739999999999999,0.376,0.284,0.066
2017-04-01,1075,Reichsbrücke,1220.0,Donaustadt,16.413122550105502,48.23014531667128,38950.0,,,,38950.0,38950.0,38950.0,38950.0,0.0,184188.0,0.106,433.02,0.2739999999999999,0.376,0.284,0.066
