Id,Name,Latitude,Longitude,Kategorie,Bezirk_Code
1,Siebensterngasse,48.2021844,16.3519717,Bus,907
2,Wolf in der Au,48.2047409,16.2371463,Bus,914
3,Preyergasse,48.1738838,16.285108,Bus,913
4,Rossakgasse,48.1484992,16.3216007,Bus,923
5,Saarplatz,48.2451655,16.3503239,Bus,919
6,Auhof Umspannwerk,48.201987,16.2345645,Bus,913
7,Hetmanekgasse,48.1371754,16.3165155,Bus,923
8,Rettichgasse,48.201554,16.2623007,Straßenbahn,914
9,Hütteldorf,48.197903,16.2607201,Bus,914
10,Donauzentrum,48.2424105,16.435657,Bus,922
11,Schwedenplatz,48.2117233,16.3783789,Bus,901
12,An den Steinfeldern,48.137026,16.2980261,Bus,923
13,Wien Hernals,48.2232721,16.3148301,Zug,917
14,Wien Gersthof,48.2308266,16.329064,Zug,918
15,Kahlenbergerdorf,48.2745401,16.3566597,Bus,919
16,Burgstall,48.2697639,16.3615064,Bus,919
17,Nußdorf,48.2598165,16.3672403,Bus,919
18,"Hadersdorf, Hauptstraße",48.209629,16.2205202,Bus,914
19,Wien Jedlersdorf,48.2740664,16.3959541,Zug,921
20,Wien Brünner Straße,48.2676564,16.4036086,Zug,921
21,Wien Floridsdorf,48.2563544,16.400016,Zug,921
22,Wien Traisengasse,48.234892,16.3832343,Zug,920
23,Wien Strebersdorf,48.2859164,16.3812798,Zug,921
24,Hütteldorfer Straße,48.1996816,16.312048,Bus,914
25,Minciostraße,48.2029581,16.3131674,Bus,915
26,Jagdschloßgasse,48.1768602,16.283647,Bus,913
27,"Johnstraße, Schuselkagasse",48.1996359,16.3191147,Bus,915
28,"Donaumarina, Chrastekgasse",48.207772,16.4285591,Bus,902
29,Erbpostgasse,48.3086531,16.4270569,Bus,921
30,"Neubaugasse, Burggasse",48.2039009,16.3489529,Bus,907
31,Jubiläumswarte,48.221099,16.2653263,Bus,916
32,Wien Simmering,48.1700907,16.4194671,Zug,911
33,Carabelligasse,48.2805449,16.4111641,Bus,921
34,Praterstern,48.2169191,16.3923217,Bus,902
35,"Aspernstraße, Oberdorfstraße",48.2196762,16.4814724,Bus,922
36,Adamovichgasse,48.1425274,16.3384266,Bus,923
37,Florian-Geyer-Gasse,48.1569587,16.3914393,Bus,910
38,Siedlung Südost,48.1563616,16.3945394,Bus,910
39,Hoferstiege,48.1391867,16.2713309,Bus,923
40,Rennweg,48.1951347,16.3865571,Bus,903
41,Brückengasse,48.1915211,16.347945,Bus,906
42,Wien Erzherzog-Karl-Straße,48.23011,16.4532608,Zug,922
43,Wien Siemensstraße,48.2707893,16.4201394,Zug,921
44,Wien Matzleinsdorfer Platz,48.1801923,16.3577272,Zug,910
45,Wien Speising,48.1735859,16.283752,Zug,913
46,Hardeggasse,48.2213793,16.458953,Bus,922
47,Stephansplatz,48.2092503,16.3726684,Bus,901
48,Johannes-Krawarik-Gasse,48.2138482,16.308632,Straßenbahn,916
49,Liechtenwerder Platz,48.2325641,16.3565508,Straßenbahn,909
50,Weitlofgasse,48.2302144,16.3479681,Bus,918
51,Rappachgasse,48.1799052,16.4249775,Bus,911
52,"Schafberg, Werfelstraße",48.2349864,16.301596,Bus,917
53,Senderstraße,48.3111629,16.4010291,Bus,921
54,Huglgasse,48.1979166,16.3251876,Bus,915
55,Ziegelofengasse,48.1918632,16.3602643,Bus,905
56,Wien Quartier Belvedere,48.1880095,16.3818962,Zug,903
57,Schottenring,48.2167633,16.3713545,Straßenbahn,901
58,Nestroyplatz,48.2153413,16.3855206,U-Bahn,902
59,Vorgartenstraße,48.2236468,16.4010412,U-Bahn,902
60,Donauinsel,48.2292444,16.4113511,U-Bahn,922
61,Kaisermühlen - VIC,48.2328146,16.4164291,U-Bahn,922
62,Alte Donau,48.2382599,16.4247868,U-Bahn,922
63,Kagran,48.2429415,16.4329857,U-Bahn,922
64,Wien Süßenbrunn,48.2855567,16.4855608,Zug,922
65,Draugasse,48.2854692,16.4385589,Bus,921
66,Taubstummengasse,48.1936955,16.3704805,U-Bahn,904
67,Rennbahnweg,48.2576264,16.4495649,U-Bahn,922
68,Aderklaaer Straße,48.263432,16.4515472,U-Bahn,921
69,Dresdner Straße,48.2373503,16.3801747,U-Bahn,920
70,Jägerstraße,48.2353013,16.3685821,U-Bahn,920
71,Nußdorfer Straße,48.2313184,16.3524795,U-Bahn,909
72,Thaliastraße,48.2077916,16.3380301,U-Bahn,907
73,Josefstädter Straße,48.2114604,16.3391961,U-Bahn,908
74,Alser Straße,48.2167561,16.3418396,U-Bahn,909
75,Michelbeuern-AKH,48.2211405,16.3442207,U-Bahn,909
76,Währinger Straße-Volksoper,48.2256193,16.3495448,U-Bahn,909
77,Burggasse-Stadthalle,48.2029737,16.3372663,U-Bahn,907
78,Gumpendorfer Straße,48.1907334,16.3375677,U-Bahn,906
79,Volkstheater,48.20535,16.3576492,U-Bahn,907
80,Herrengasse,48.2094269,16.3650722,U-Bahn,901
81,Stubentor,48.2069811,16.3792172,U-Bahn,901
82,Forchheimergasse,48.1409522,16.3078104,Bus,923
83,Voltelinistraße,48.2770308,16.373543,Bus,921
84,Schottentor,48.2150914,16.3628686,U-Bahn,909
85,Friedensbrücke,48.2278202,16.3641194,U-Bahn,909
86,Spittelau,48.2345751,16.3587595,U-Bahn,909
87,Wexstraße,48.2359895,16.3657805,Straßenbahn,920
88,Höchstädtplatz,48.239015,16.3764417,Straßenbahn,920
89,Floridsdorf,48.2572693,16.3995396,Straßenbahn,921
90,Bahnsteggasse,48.2648618,16.4019173,Straßenbahn,921
91,Brünner Straße,48.2683825,16.4039475,Straßenbahn,921
92,Großjedlersdorf,48.2768329,16.4088361,Straßenbahn,921
93,Carabelligasse,48.2805607,16.411059,Straßenbahn,921
94,Stadtpark,48.2029419,16.3797786,U-Bahn,903
95,Pilgramgasse,48.1921335,16.3542607,U-Bahn,905
96,Unter St. Veit,48.1910827,16.2863571,U-Bahn,913
97,Braunschweiggasse,48.1894202,16.2958262,U-Bahn,913
98,Hietzing,48.1875971,16.3045816,U-Bahn,913
99,Meidling Hauptstraße,48.1837009,16.328024,U-Bahn,912
100,Glossystraße,48.2123965,16.2360151,Bus,914
101,Trollwiese,48.240875,16.2067028,Bus,914
102,"Ring, Volkstheater",48.2067554,16.3596565,Bus,901
103,"Schmerlingplatz, Volkstheater",48.2063909,16.3583116,Straßenbahn,901
104,Auerspergstraße,48.2068069,16.3553581,Bus,907
105,Thaliastraße,48.2085965,16.3384311,Straßenbahn,916
106,Joachimsthalerplatz,48.2089504,16.3045483,Bus,916
107,Hohe Warte,48.2510155,16.3554815,Straßenbahn,919
108,Neue Donau,48.2463043,16.3946811,U-Bahn,921
109,Floridsdorf,48.2562236,16.4002991,U-Bahn,921
110,Wien Hauptbahnhof,48.1859663,16.3750995,Zug,910
111,Keplerplatz,48.179369,16.3761813,U-Bahn,910
112,Fultonstraße,48.253251,16.4145504,Bus,921
113,Westbahnhof,48.195977,16.3379012,U-Bahn,915
114,Zieglergasse,48.1971293,16.3462989,U-Bahn,906
115,Neubaugasse,48.1992104,16.3525321,U-Bahn,906
116,Johnstraße,48.1976841,16.3202624,U-Bahn,915
117,Schweglerstraße,48.1979021,16.3285265,U-Bahn,915
118,Ottakring,48.2109877,16.3113651,U-Bahn,916
119,Kagraner Platz,48.2501998,16.4433436,U-Bahn,922
120,Schönbrunn,48.1860602,16.3189477,U-Bahn,913
121,"Strebersdorf, Edmund-Hawranek-Platz",48.2913681,16.386597,Straßenbahn,921
122,Bahnhof Meidling,48.1735402,16.3313111,U-Bahn,912
123,Tscherttegasse,48.1649916,16.3277761,U-Bahn,912
124,Am Schöpfwerk,48.1606849,16.3241837,U-Bahn,912
125,Alterlaa,48.1505002,16.3169181,U-Bahn,923
126,Erlaaer Straße,48.1419894,16.3165606,U-Bahn,923
127,Perfektastraße,48.136611,16.3132697,U-Bahn,923
128,Siebenhirten,48.1304978,16.3098612,U-Bahn,923
129,"Bahnhof Meidling, Schedifkaplatz",48.1727221,16.3318085,Bus,912
130,Oberzellergasse,48.1917618,16.395234,Straßenbahn,903
131,Kleistgasse,48.1936788,16.3902636,Straßenbahn,903
132,"Enkplatz, Grillgasse",48.1744909,16.4159909,Straßenbahn,911
133,St. Marx,48.1884903,16.4002273,Straßenbahn,903
134,Zentralfriedhof 1. Tor,48.1588921,16.4335301,Straßenbahn,911
