FID,OBJECTID,SHAPE,ZST_ID,ZST_NAME,STR_NR,BETRIEBNAHME,RICHTUNG_1,RICHTUNG_2,LAGE,GERAETEART,GERAETEART_TXT,SE_ANNO_CAD_DATA
DAUERZAEHLOGD.491312,491312,POINT (16.46564167745038 48.21921566810169),4003,Langobardenstraße,,2011-01-01,,,SMZ-Ost,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491313,491313,POINT (16.367368497479802 48.20295168557251),4006,Opernring Innen,,2011-01-20,,,Opernring ON. 6,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491314,491314,POINT (16.51259364345841 48.25086790465338),1623,Breitenleer Straße II,,2012-07-01,S2,Neu-Essling,Breitenleer Str. ca. 400m nach Agavenweg,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491315,491315,POINT (16.342529916276902 48.17488678797126),1612,Längenfeldgasse,,2010-01-13,Wienerbergstr.,Eichenstr.,zw. Eichenstr. und Kerschensteinerg.,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491316,491316,POINT (16.27111555715092 48.15045720869226),1620,Endresstraße,,2010-01-13,Mauerer Hptpl.,Atzgersdf.,auf Höhe Onr.105,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491317,491317,POINT (16.3266675707357 48.13820362652035),1187,Triester Straße,B17,2004-03-26,Zentrum,Wr.Neudorf,bei ON. 240,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491318,491318,POINT (16.241016791248555 48.20081133676978),1191,Wientalstraße,B1,2004-03-26,Zentrum,St.Pölten,stadteinwärts in Höhe Ende Umspannwerk,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491319,491319,POINT (16.46095057188841 48.25173546282239),1197,Breitenleer Straße,,2007-04-20,Kagran,Raasdorf,stadtauswärts 40m nach Ludwig Reindl G.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491320,491320,POINT (16.32654588508573 48.21937042464959),1205,Hernalser Hauptstraße,,2007-12-18,Dornbacher Str:,Zentrum,im Kreuzungsbereich mit Rosenstein- gasse jeweils nach Schutzweg,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491321,491321,POINT (16.307006185146843 48.19896965499697),1206,Hütteldorfer Straße,,2007-12-18,Hütteldorf,Zentrum,im Kreuzungsbereich mit Kendlergasse jeweils  nach Schutzweg,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491322,491322,POINT (16.355373063732372 48.131763346553704),1211,Laxenburger Straße,B230,2010-12-01,stadteinwärts,Vösendorf,südlich der Kreuzung Laxenburger Str. # Vorarlberger Alle,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491323,491323,POINT (16.443832333595523 48.22141578074583),1212,Donaustadtstraße II,B3b,2012-07-01,A23,Kagran,Donaustadtstr. bei Deinleingasse,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491324,491324,POINT (16.338352057285007 48.18596437175825),1600,Schönbrunner Straße,B1,2007-07-10,Zentrum,,60m nach der Kreuzung mit der Kobingerg. (ON. 176),M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491325,491325,POINT (16.298850176988683 48.17935002741429),1614,Maxinggasse,,2010-01-13,Montecuccolipl.,Zentrum,mit Kreuzung Weidlichgasse,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491326,491326,POINT (16.325895532870046 48.22697214800761),1616,Gersthofer Straße,,2010-01-13,Türkenschanzpl.,Lidlg.,auf Höhe ON. 11,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491327,491327,POINT (16.388947783315967 48.12753436117125),1184,Himberger Straße,,2016-11-09,Zentrum,Leopoldsdorf,in Himberger Straße ca. 80m vor Kreisverkehr mit S1,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491328,491328,POINT (16.22764982163498 48.20771115518934),1192,Hauptstraße,,2004-03-26,Zentrum,St.Pölten,bei ON. 7,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491329,491329,POINT (16.321197222509106 48.2085274697457),1210,Koppstraße,B223,2009-11-01,stadtauswärts,,im Kreuzungsbereich Brüßlg.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491330,491330,POINT (16.367087463180653 48.202791019833874),4009,Opernring Außen,,2011-10-14,,,Opernring ON. 11,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491331,491331,POINT (16.28103770137187 48.13216142327478),1216,Perchtoldsdorfer Straße,,2015-12-27,Liesinger Platz,Perchtoldsdorf,R1: in Perchtoldsdorfer Straße ca. 35m nach Kreuzung mit Ketzergasse; R2: in Wiener-G. ca. 30m nach Kreuzung mit Ketzergasse,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491332,491332,POINT (16.34315633133021 48.22077701555347),1609,Währinger Gürtel Nord,,2010-01-13,Lichtenwerder Pl.,,AKH-Steg,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491333,491333,POINT (16.238954847590136 48.13794039257982),1181,Breitenfurter Straße,B13,2005-09-23,Zentrum,Breitenfurt,bei ON. 556,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491334,491334,POINT (16.49171169433881 48.2789248140785),1195,Wagramer Straße,,2004-03-26,Zentrum,Süßenbrunn,50m stadteinwärts nach VLSA Wagramer Str.#Bettelheimg.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491335,491335,POINT (16.422874777142887 48.30133198308174),1198,Brünner Straße,B7,2005-09-23,Zentrum,Wolkersdorf,R1: gegenüber ON. 316; R2: bei ON. 330,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491336,491336,POINT (16.334816969417187 48.17128854113906),1208,Wienerbergstraße,B225,2009-11-01,Breitenfurter Str.,Triester Straße,im Kreuzungsbereich Erschließungsstr.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491337,491337,POINT (16.295989822389846 48.169681250216534),1209,Atzgersdorfer Straße,,2009-11-01,Rosenhügelstr.,Stranzenberg Br.,nach FG-Übergang bei Münchenstraße,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491338,491338,POINT (16.344835838840392 48.20569784259368),1214,Neustiftgasse II,,2014-04-21,,,Neustiftgasse nach Zieglergasse,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491339,491339,POINT (16.36992002195684 48.25533762026831),4001,Donaukanal,,2011-01-18,,,Nußdorfer Lände,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491340,491340,POINT (16.373535924275558 48.194397532526246),4007,Argentinierstraße,,2011-02-07,,,Argentinierstraße ON. 31,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491341,491341,POINT (16.286390254659715 48.136975098468554),1619,Breitenfurter Straße II,B13a,2010-01-13,Liesinger Pl.,Zentrum,im Kreuzungsbreich mit Waisenhorn-G.,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491304,491304,POINT (16.376996234456165 48.21269404274544),1170,Obere Donaustraße/Franz-Josefs-Kai,B227,2005-09-23,,,30m nachLilienbrunngasse bzw. Rotenturmstraße,M_SG,MIV_Scheifengerät,
