ds,traffic_real,traffic_forecast_without_corona,delta,delta_percent,znr
2020-02-01,27206,25419,1787,7.03,1131
2020-02-02,23171,21593,1578,7.31,1131
2020-02-03,31381,31095,286,0.92,1131
2020-02-04,33990,33211,779,2.35,1131
2020-02-05,33990,33212,778,2.34,1131
2020-02-06,33990,33226,764,2.3,1131
2020-02-07,35082,33386,1696,5.08,1131
2020-02-08,27206,25423,1783,7.01,1131
2020-02-09,23171,21549,1622,7.53,1131
2020-02-10,31381,31016,365,1.18,1131
2020-02-11,33990,33109,881,2.66,1131
2020-02-12,33990,33102,888,2.68,1131
2020-02-13,33990,33122,868,2.62,1131
2020-02-14,35082,33303,1779,5.34,1131
2020-02-15,27206,25375,1831,7.22,1131
2020-02-16,23171,21550,1621,7.52,1131
2020-02-17,31381,31078,303,0.97,1131
2020-02-18,33990,33243,747,2.25,1131
2020-02-19,33990,33317,673,2.02,1131
2020-02-20,33990,33425,565,1.69,1131
2020-02-21,35082,33698,1384,4.11,1131
2020-02-22,27206,25866,1340,5.18,1131
2020-02-23,23171,22136,1035,4.68,1131
2020-02-24,31381,31756,-375,-1.18,1131
2020-02-25,33990,34008,-18,-0.05,1131
2020-02-26,33990,34162,-172,-0.5,1131
2020-02-27,33990,34341,-351,-1.02,1131
2020-02-28,35082,34674,408,1.18,1131
2020-02-29,27206,26887,319,1.19,1131
2020-03-01,14870,23190,-8320,-35.88,1131
2020-03-02,22941,32828,-9887,-30.12,1131
2020-03-03,23448,35084,-11636,-33.17,1131
2020-03-04,23448,35225,-11777,-33.43,1131
2020-03-05,23448,35377,-11929,-33.72,1131
2020-03-06,24136,35669,-11533,-32.33,1131
2020-03-07,15597,27829,-12232,-43.95,1131
2020-03-08,14870,24067,-9197,-38.21,1131
2020-03-09,22941,33630,-10689,-31.78,1131
2020-03-10,23448,35803,-12355,-34.51,1131
2020-03-11,23448,35856,-12408,-34.61,1131
2020-03-12,23448,35915,-12467,-34.71,1131
2020-03-13,24136,36114,-11978,-33.17,1131
2020-03-14,15597,28181,-12584,-44.65,1131
2020-03-15,14870,24327,-9457,-38.87,1131
2020-03-16,22941,33804,-10863,-32.14,1131
2020-03-17,23448,35897,-12449,-34.68,1131
2020-03-18,23448,35877,-12429,-34.64,1131
2020-03-19,23448,35873,-12425,-34.64,1131
2020-03-20,24136,36017,-11881,-32.99,1131
2020-03-21,15597,28041,-12444,-44.38,1131
2020-03-22,14870,24155,-9285,-38.44,1131
2020-03-23,22941,33610,-10669,-31.74,1131
2020-03-24,23448,35691,-12243,-34.3,1131
2020-03-25,23448,35670,-12222,-34.26,1131
2020-03-26,23448,35673,-12225,-34.27,1131
2020-03-27,24136,35833,-11697,-32.64,1131
2020-03-28,15597,27878,-12281,-44.05,1131
2020-03-29,14870,24019,-9149,-38.09,1131
2020-03-30,22941,33505,-10564,-31.53,1131
2020-03-31,23448,35618,-12170,-34.17,1131
2020-04-01,19583,35631,-16048,-45.04,1131
2020-04-02,19583,35666,-16083,-45.09,1131
2020-04-03,17821,35857,-18036,-50.3,1131
2020-04-04,11323,27929,-16606,-59.46,1131
2020-04-05,8684,24094,-15410,-63.96,1131
2020-04-06,19105,33597,-14492,-43.13,1131
2020-04-07,19583,35723,-16140,-45.18,1131
