ds,y,district_number
2016-01-01,35699,1
2016-01-02,26902,1
2016-01-03,23393,1
2016-01-04,32339,1
2016-01-05,35275,1
2016-01-06,35275,1
2016-01-07,35275,1
2016-01-08,35699,1
2016-01-09,26902,1
2016-01-10,23393,1
2016-01-11,32339,1
2016-01-12,35275,1
2016-01-13,35275,1
2016-01-14,35275,1
2016-01-15,35699,1
2016-01-16,26902,1
2016-01-17,23393,1
2016-01-18,32339,1
2016-01-19,35275,1
2016-01-20,35275,1
2016-01-21,35275,1
2016-01-22,35699,1
2016-01-23,26902,1
2016-01-24,23393,1
2016-01-25,32339,1
2016-01-26,35275,1
2016-01-27,35275,1
2016-01-28,35275,1
2016-01-29,35699,1
2016-01-30,26902,1
2016-01-31,23393,1
2016-02-01,34357,1
2016-02-02,36012,1
2016-02-03,36012,1
2016-02-04,36012,1
2016-02-05,37042,1
2016-02-06,30278,1
2016-02-07,26252,1
2016-02-08,34357,1
2016-02-09,36012,1
2016-02-10,36012,1
2016-02-11,36012,1
2016-02-12,37042,1
2016-02-13,30278,1
2016-02-14,26252,1
2016-02-15,34357,1
2016-02-16,36012,1
2016-02-17,36012,1
2016-02-18,36012,1
2016-02-19,37042,1
2016-02-20,30278,1
2016-02-21,26252,1
2016-02-22,34357,1
2016-02-23,36012,1
2016-02-24,36012,1
2016-02-25,36012,1
2016-02-26,37042,1
2016-02-27,30278,1
2016-02-28,26252,1
2016-02-29,34357,1
2016-03-01,37693,1
2016-03-02,37693,1
2016-03-03,37693,1
2016-03-04,37944,1
2016-03-05,33318,1
2016-03-06,28222,1
2016-03-07,35277,1
2016-03-08,37693,1
2016-03-09,37693,1
2016-03-10,37693,1
2016-03-11,37944,1
2016-03-12,33318,1
2016-03-13,28222,1
2016-03-14,35277,1
2016-03-15,37693,1
2016-03-16,37693,1
2016-03-17,37693,1
2016-03-18,37944,1
2016-03-19,33318,1
2016-03-20,28222,1
2016-03-21,35277,1
2016-03-22,37693,1
2016-03-23,37693,1
2016-03-24,37693,1
2016-03-25,37944,1
2016-03-26,33318,1
2016-03-27,28222,1
2016-03-28,35277,1
2016-03-29,37693,1
2016-03-30,37693,1
2016-03-31,37693,1
2016-04-01,40394,1
2016-04-02,32694,1
2016-04-03,28182,1
2016-04-04,36957,1
2016-04-05,39104,1
2016-04-06,39104,1
2016-04-07,39104,1
2016-04-08,40394,1
2016-04-09,32694,1
2016-04-10,28182,1
2016-04-11,36957,1
2016-04-12,39104,1
2016-04-13,39104,1
2016-04-14,39104,1
2016-04-15,40394,1
2016-04-16,32694,1
2016-04-17,28182,1
2016-04-18,36957,1
2016-04-19,39104,1
2016-04-20,39104,1
