NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;POP;GEB_BIL;MIG_BIL
AT13;90100;90100;2023;2023;16620,00;-122,0399999999999920;-76,880000000000109
AT13;90100;90100;2024;2024;16421,08;-116,9600000000000080;-78,940000000000509
AT13;90100;90100;2025;2025;16225,18;-112,8299999999999983;-90,559999999999945
AT13;90100;90100;2026;2026;16021,79;-109,3900000000000006;-95,440000000000509
AT13;90100;90100;2027;2027;15816,96;-106,6400000000000006;-103,410000000000309
AT13;90100;90100;2028;2028;15606,91;-104,3700000000000045;-102,769999999999982
AT13;90100;90100;2029;2029;15399,76;-102,5199999999999818;-97,880000000000109
AT13;90100;90100;2030;2030;15199,37;-100,9200000000000017;-92,349999999999909
AT13;90100;90100;2031;2031;15006,11;-99,4099999999999966;-85,730000000000018
AT13;90100;90100;2032;2032;14820,97;-97,8900000000000006;-77,480000000000018
AT13;90100;90100;2033;2033;14645,61;-96,4800000000000040;-64,569999999999709
AT13;90100;90100;2034;2034;14484,57;-94,8299999999999983;-47,819999999999709
AT13;90100;90100;2035;2035;14341,92;-92,7500000000000142;-31,079999999999927
AT13;90100;90100;2036;2036;14218,09;-90,2000000000000171;-15,019999999999982
AT13;90100;90100;2037;2037;14112,86;-87,3099999999999881;4,499999999999545
AT13;90100;90100;2038;2038;14030,04;-84,0699999999999932;19,989999999999782
AT13;90100;90100;2039;2039;13965,96;-80,8200000000000074;15,380000000000109
AT13;90100;90100;2040;2040;13900,53;-77,3900000000000148;25,569999999999709
AT13;90100;90100;2041;2041;13848,71;-74,0100000000000193;30,190000000000055
AT13;90100;90100;2042;2042;13804,89;-70,7800000000000011;32,349999999999909
AT13;90100;90100;2043;2043;13766,46;-67,8000000000000114;32,949999999999818
AT13;90200;90200;2023;2023;108269,00;232,4299999999999500;2331,319999999999709
AT13;90200;90200;2024;2024;110832,76;255,8700000000000045;1628,909999999999854
AT13;90200;90200;2025;2025;112717,54;272,6500000000000909;1182,049999999999272
AT13;90200;90200;2026;2026;114172,24;285,6900000000000546;1026,490000000001601
AT13;90200;90200;2027;2027;115484,42;294,1100000000000136;677,799999999999272
AT13;90200;90200;2028;2028;116456,33;298,2999999999998408;290,419999999998254
AT13;90200;90200;2029;2029;117045,04;299,1299999999999955;15,020000000000437
AT13;90200;90200;2030;2030;117359,19;296,1399999999999864;-200,170000000001892
AT13;90200;90200;2031;2031;117455,16;290,0700000000000500;-380,970000000001164
AT13;90200;90200;2032;2032;117364,26;282,1500000000000909;-423,439999999998690
AT13;90200;90200;2033;2033;117222,97;268,0499999999998408;-392,550000000002910
AT13;90200;90200;2034;2034;117098,47;254,4700000000000273;-310,330000000001746
