ZNR,DATE,forecast,lower_95,upper_95
1075,2025-01-01,29605.162330887048,23007.183891499015,36203.14077027508
1075,2025-02-01,31688.587214868865,22960.349212168854,40416.825217568876
1075,2025-03-01,32861.71307542472,22824.103252879017,42899.32289797042
1075,2025-04-01,33279.52326594555,22356.24810833238,44202.79842355872
1075,2025-05-01,33525.72892690188,21975.672553032528,45075.78530077123
1075,2025-06-01,34998.598556564306,22992.697636047487,47004.499477081124
1075,2025-07-01,33049.204239004874,20705.424964373262,45392.983513636485
1075,2025-08-01,31521.568970009568,18923.6736083438,44119.464331675335
1075,2025-09-01,33930.43826719787,21139.107590103078,46721.76894429266
1075,2025-10-01,33431.60901208001,20491.475395097543,46371.74262906247
1075,2025-11-01,34164.5326842941,21108.828602431135,47220.23676615706
1075,2025-12-01,31188.895412010665,18042.623714559926,44335.1671094614
1075,2026-01-01,30231.64316468034,15737.100659762336,44726.185669598344
1075,2026-02-01,32350.608996875526,16905.439957027113,47795.77803672394
1075,2026-03-01,33459.6666047523,17322.651610955312,49596.681598549294
1075,2026-04-01,34065.44562103617,17413.9711154888,50716.920126583536
1075,2026-05-01,34009.26024987042,16968.96713899152,51049.55336074933
1075,2026-06-01,35463.65394999826,18125.581703398304,52801.72619659822
1075,2026-07-01,33776.12743765768,16207.380080803563,51344.874794511794
1075,2026-08-01,32360.917911745666,14611.637112397912,50110.19871109342
1075,2026-09-01,34663.94129310822,16772.027578746965,52555.85500746947
1075,2026-10-01,34315.68733110587,16310.079535451288,52321.29512676046
1075,2026-11-01,35175.01779158169,17078.01554599099,53272.02003717239
1075,2026-12-01,32152.844335405505,13981.777961781401,50323.91070902961
1075,2027-01-01,31427.045063500875,12034.72158087364,50819.36854612811
1075,2027-02-01,33533.32105903246,13248.185395685061,53818.45672237986
1075,2027-03-01,34654.93697899941,13702.493303811076,55607.38065418774
1075,2027-04-01,35211.29127854633,13751.668343345551,56670.914213747106
1075,2027-05-01,35227.6199101762,13377.22688217802,57078.01293817439
1075,2027-06-01,36684.515184788324,14529.48901555932,58839.54135401733
1075,2027-07-01,34930.312083259225,12535.299926341497,57325.32424017695
1075,2027-08-01,33485.71987670049,10899.82355425775,56071.61619914323
1075,2027-09-01,35813.67560990568,13074.582226173596,58552.768993637765
1075,2027-10-01,35426.99215939012,12563.90223582233,58290.08208295792
1075,2027-11-01,36254.043768270116,13289.779901366812,59218.30763517342
1075,2027-12-01,33242.590204047214,10195.135267474201,56290.04514062023
1075,2028-01-01,32475.16335283022,8375.19850089732,56575.12820476312
1075,2028-02-01,34583.989294263534,9693.345948294264,59474.632640232805
1075,2028-03-01,35701.983899024606,10207.332749179557,61196.635048869655
1075,2028-04-01,36270.1520232865,10307.730396802464,62232.57364977054
1075,2028-05-01,36268.13689265988,9939.155506961346,62597.118278358415
1075,2028-06-01,37724.093737794145,11104.824849630462,64343.36262595783
1075,2028-07-01,35986.14298654435,9134.76376692249,62837.522206166206
1075,2028-08-01,34548.5998380736,7509.957565109005,61587.24211103819
1075,2028-09-01,36870.17722123285,9679.174489236371,64061.17995322933
1075,2028-10-01,36492.84747271758,9176.885597043663,63808.80934839149
1075,2028-11-01,37327.75310510595,9908.518996499995,64746.9872137119
1075,2028-12-01,34313.51810239727,6808.305724213453,61818.730480581085
1075,2029-01-01,33712.11571987672,5232.74560648901,62191.48583326442
1075,2029-02-01,35820.21848290664,6596.63508827419,65043.80187753909
1075,2029-03-01,36939.03255515016,7138.697689607809,66739.3674206925
1075,2029-04-01,37504.20608132635,7251.406236880881,67757.00592577182
1075,2029-05-01,37506.680084432475,6895.0597494936665,68118.30041937128
1075,2029-06-01,38962.82068683562,8063.833524427606,69861.80784924363
1075,2029-07-01,37220.80029517907,6089.569375533694,68352.03121482444
1075,2029-08-01,35781.47443669377,4460.943504458013,67102.00536892952
1075,2029-09-01,38104.60204598069,6628.526268855276,69580.6778231061
1075,2029-10-01,37724.92800479481,6120.058703934916,69329.7973056547
1075,2029-11-01,38557.864795999834,6845.564313953604,70270.16527804607
1075,2029-12-01,35544.3000149845,3741.7478182846135,67346.8522116844
1075,2030-01-01,35068.04867822031,2348.4560703451025,67787.64128609552
1075,2030-02-01,37176.31668666459,3747.054816924465,70605.57855640471
1075,2030-03-01,38294.915707201,4309.37549927026,72280.45591513174
1075,2030-04-01,38860.82116738439,4434.3175984548725,73287.32473631391
1075,2030-05-01,38862.17386088311,4082.565332886392,73641.78238887983
1075,2030-06-01,40318.261438481044,5253.261564135173,75383.26131282691
1075,2030-07-01,38577.24324155686,3279.5736558508506,73874.91282726287
1075,2030-08-01,37138.353724642075,1649.4422793411286,72627.26516994301
1075,2030-09-01,39461.092452500365,3813.767149779167,75108.41775522157
1075,2030-10-01,39081.99540177401,3302.4715365839656,74861.51926696405
1075,2030-11-01,39915.4167132412,4024.778796051418,75806.05463043097
1075,2030-12-01,36901.68289845495,917.0007515820907,72886.36504532781
1078,2025-01-01,66502.73557652015,58905.44606717694,74100.02508586335
1078,2025-02-01,70240.02429041889,61434.16269548078,79045.885885357
1078,2025-03-01,69953.77269735758,60746.562103911434,79160.98329080372
1078,2025-04-01,69235.25320333349,59877.087503792485,78593.41890287449
1078,2025-05-01,69757.40531104062,60336.856729777624,79177.95389230362
1078,2025-06-01,70759.30994020705,61310.06965204609,80208.55022836801
1078,2025-07-01,64251.763076050345,54787.16532322475,73716.36082887594
1078,2025-08-01,62210.886989351915,52736.05299420484,71685.720984499
1078,2025-09-01,70166.34855035646,60682.68104452382,79650.0160561891
1078,2025-10-01,69947.75861551966,60454.58740044641,79440.92983059291
1078,2025-11-01,68896.31893371278,59391.3715472968,78401.26632012877
1078,2025-12-01,66464.60472047029,56943.95701182506,75985.25242911551
1078,2026-01-01,66356.90022965234,56232.36942392561,76481.43103537906
1078,2026-02-01,70134.99836866476,59766.22785572887,80503.76888160066
1078,2026-03-01,69740.19402839022,59263.022258969,80217.36579781145
1078,2026-04-01,68655.92615366251,58129.24181975817,79182.61048756685
1078,2026-05-01,69700.79164653529,59150.213635825996,80251.36965724459
1078,2026-06-01,70669.2540381385,60105.40698668798,81233.10108958904
1078,2026-07-01,64718.47667948793,54145.07462625347,75291.8787327224
1078,2026-08-01,62705.26124404103,52122.68706346139,73287.83542462067
1078,2026-09-01,70352.48603908718,59759.24623853501,80945.72583963934
1078,2026-10-01,70120.18825726541,59513.29064969082,80727.08586484
1078,2026-11-01,68705.52816364348,58080.24877632602,79330.80755096093
1078,2026-12-01,66292.13323441205,55641.41443459444,76942.85203422965
1078,2027-01-01,66294.77478209688,55333.64693385872,77255.90263033504
1078,2027-02-01,70082.29896463506,58970.74916961776,81193.84875965236
1078,2027-03-01,69662.43650315686,58477.72473591355,80847.14827040017
1078,2027-04-01,68493.73259794044,57274.09893808261,79713.36625779828
1078,2027-05-01,69659.27366040261,58422.07918599454,80896.46813481068
1078,2027-06-01,70620.01595010923,59372.042983631974,81867.98891658649
1078,2027-07-01,64797.77587611595,53540.63918100322,76054.91257122868
1078,2027-08-01,62790.94637757617,51523.675790895344,74058.216964257
1078,2027-09-01,70367.01102943267,59087.05616770605,81646.9658911593
1078,2027-10-01,70131.5486663913,58834.880154572864,81428.21717820974
1078,2027-11-01,68633.0347308126,57313.66612435843,79952.40333726676
1078,2027-12-01,66223.86904504716,54872.96547390016,77574.77261619415
1078,2028-01-01,66097.72619374405,54476.9704649081,77718.48192257999
1078,2028-02-01,69887.42649754343,58125.31500148865,81649.53799359822
1078,2028-03-01,69461.77906517468,57629.982455764104,81293.57567458524
1078,2028-04-01,68273.58207292824,56408.22916839639,80138.93497746009
1078,2028-05-01,69466.98256431741,57584.34736050844,81349.61776812638
1078,2028-06-01,70425.94257465456,58532.073103832605,82319.81204547652
1078,2028-07-01,64633.376901992466,52729.308050039166,76537.44575394577
1078,2028-08-01,62628.02167505511,50712.271767133556,74543.77158297667
1078,2028-09-01,70187.65813932684,58257.1612260702,82118.15505258349
1078,2028-10-01,69951.4651941202,58001.582025597556,81901.34836264285
1078,2028-11-01,68433.59257560852,56457.50319080007,80409.68196041697
1078,2028-12-01,66025.40326233163,54013.016158460785,78037.79036620248
1078,2029-01-01,65978.27392404794,53696.50336982558,78260.0444782703
1078,2029-02-01,69768.4766120062,57339.98398986542,82196.96923414698
1078,2029-03-01,69341.49364849672,56840.776966137,81842.21033085644
1078,2029-04-01,68148.79643917375,55613.077682883246,80684.51519546425
1078,2029-05-01,69348.6286197894,56794.472524567136,81902.78471501166
1078,2029-06-01,70307.17716917956,57740.57284711815,82873.78149124097
1078,2029-07-01,64521.46219427697,51943.24000705868,77099.68438149527
1078,2029-08-01,62516.447320934414,49924.850878292826,75108.043763576
1078,2029-09-01,70072.29113757632,57463.91412233567,82680.66815281697
1078,2029-10-01,69835.92952855924,57205.68316066086,82466.17589645761
1078,2029-11-01,68313.58772179631,55654.001977742046,80973.17346585057
1078,2029-12-01,65905.62381602623,53205.59684484253,78605.65078720993
1078,2030-01-01,65768.40477035636,52792.323674168496,78744.48586654422
1078,2030-02-01,69558.72343982989,56428.31668402576,82689.13019563402
1078,2030-03-01,69131.4321526548,55925.23048866508,82337.63381664452
1078,2030-04-01,67937.69601328913,54694.48316718667,81180.90885939158
1078,2030-05-01,69139.01302786925,55875.87283528382,82402.15322045468
1078,2030-06-01,70097.46658647743,56820.46775704825,83374.46541590661
1078,2030-07-01,64313.33317877369,51023.199967907385,77603.46638964
1078,2030-08-01,62308.39688021292,49003.177675131075,75613.61608529475
1078,2030-09-01,69863.36511785562,56539.387800134995,83187.34243557624
1078,2030-10-01,69626.96457073913,56278.77432449328,82975.15481698498
1078,2030-11-01,68103.59099731657,54723.17745655564,81484.0045380775
1078,2030-12-01,65695.6791296208,52271.09036584768,79120.26789339392
1089,2025-01-01,24283.66881008228,19333.12387697332,29234.213743191238
1089,2025-02-01,26264.081383809535,19601.02060877501,32927.14215884406
1089,2025-03-01,28219.38577406999,20332.485837473174,36106.2857106668
1089,2025-04-01,28659.633056587074,19769.48210340971,37549.78400976444
1089,2025-05-01,28499.62689765371,18732.339861868903,38266.91393343852
1089,2025-06-01,29628.419152510498,19067.193813254507,40189.64449176649
1089,2025-07-01,25590.157469164842,14295.492924171303,36884.82201415838
1089,2025-08-01,24103.922034955,12122.853934329658,36084.990135580345
1089,2025-09-01,27879.88867964284,15250.697462995995,40509.07989628969
1089,2025-10-01,27568.37832414129,14323.21994643247,40813.53670185011
1089,2025-11-01,27597.860665729066,13764.359545847314,41431.36178561082
1089,2025-12-01,25168.234958529152,10770.518158852728,39565.95175820558
1089,2026-01-01,25476.19779363458,9704.09967855445,41248.29590871471
1089,2026-02-01,27379.037802993815,10433.390756289842,44324.68484969779
1089,2026-03-01,28821.691713018285,10819.072029944567,46824.311396092
1089,2026-04-01,29924.501908554375,10942.081047892178,48906.92276921657
1089,2026-05-01,28928.71640828837,9023.18808204283,48834.2447345339
1089,2026-06-01,30021.32146301103,9237.621847612616,50805.021078409445
1089,2026-07-01,26953.874019738112,5329.501405369821,48578.2466341064
1089,2026-08-01,25288.726462299237,2856.0410849554464,47721.41183964303
1089,2026-09-01,28434.919448488043,5222.466012129269,51647.372884846816
1089,2026-10-01,28383.620235779556,4416.951562632097,52350.28890892702
1089,2026-11-01,28486.439894418116,3788.670284340209,53184.20950449602
1089,2026-12-01,26073.7978951041,665.9999859649688,51481.59580424323
1089,2027-01-01,28419.061658494233,1243.8925732346506,55594.23074375381
1089,2027-02-01,30359.95036158111,1645.3532671680478,59074.54745599418
1089,2027-03-01,32054.054898236413,1932.731856524344,62175.37793994848
1089,2027-04-01,32831.88373597109,1391.7113026329716,64272.0561693092
1089,2027-05-01,32246.04075792685,-448.1552784135856,64940.236794267286
1089,2027-06-01,33356.395321861724,-539.9813058149593,67252.77194953841
1089,2027-07-01,29812.771912894386,-5241.995932859558,64867.53975864833
1089,2027-08-01,28235.37920078548,-7939.481551878329,64410.23995344929
1089,2027-09-01,31690.470705549436,-5570.24698857707,68951.18839967594
1089,2027-10-01,31511.54018379553,-6803.998174940345,69827.07854253141
1089,2027-11-01,31578.388524401817,-7763.568097825038,70920.34514662868
1089,2027-12-01,29157.4161636621,-11184.789743714435,69499.62207103864
1089,2028-01-01,32279.017215890926,-9810.474679453982,74368.50911123584
1089,2028-02-01,34201.243364647584,-9483.222821459698,77885.70955075487
1089,2028-03-01,35772.013549393916,-9412.914561526166,80956.941660314
1089,2028-04-01,36709.24292505899,-9909.932331223245,83328.41818134123
1089,2028-05-01,35922.326694677526,-12079.78349066533,83924.43688002038
1089,2028-06-01,37023.97527825867,-12318.304195440905,86366.25475195824
1089,2028-07-01,33713.91205130998,-16931.173612386498,84358.99771500645
1089,2028-08-01,32093.476348531956,-19820.8205747885,84007.7732718524
1089,2028-09-01,35397.055808544916,-17755.719512736796,88549.83112982663
1089,2028-10-01,35280.72733712435,-19082.11146680799,89643.56614105668
1089,2028-11-01,35365.21929730056,-20181.229100056094,90911.66769465721
1089,2028-12-01,32948.33290660349,-23756.977485260897,89653.64329846788
1089,2029-01-01,34583.450596305775,-24014.956703008676,93181.85789562023
1089,2029-02-01,36514.83056612927,-23836.582966482216,96866.24409874075
1089,2029-03-01,38146.09518099448,-23871.039063605145,100163.22942559411
1089,2029-04-01,39005.13997504467,-24616.28509518008,102626.56504526942
1089,2029-05-01,38316.848431330145,-26860.920556181205,103494.61741884149
1089,2029-06-01,39422.767222780996,-27271.00060866344,106116.53505422543
1089,2029-07-01,35998.14475186667,-32175.991187777865,104172.2806915112
1089,2029-08-01,34398.821262765035,-35223.291207905844,104020.93373343592
1089,2029-09-01,37776.716066893336,-33263.424387689854,108816.85652147653
1089,2029-10-01,37629.68183263723,-34800.51853637134,110059.8822016458
1089,2029-11-01,37705.519750410895,-36088.4591739286,111499.49867475039
1089,2029-12-01,35286.629226839344,-39846.32899961111,110419.5874532898
1089,2030-01-01,36233.7980711429,-40875.3557375613,113342.9518798471
1089,2030-02-01,38160.68817111035,-40805.703334451886,117127.07967667258
1089,2030-03-01,39762.280792579026,-40985.876499474165,120510.43808463222
1089,2030-04-01,40659.674445934565,-41816.1968252455,123135.54571711463
1089,2030-05-01,39923.00834863281,-44237.68692840684,124083.70362567245
1089,2030-06-01,41026.83264015266,-44782.05762456842,126835.72290487374
1089,2030-07-01,37658.40048500424,-49765.91390577925,125082.71487578773
1089,2030-08-01,36048.721638168674,-52960.88652788596,125058.32980422331
1089,2030-09-01,39390.16541043308,-51176.599308004574,129956.93012887074
1089,2030-10-01,39258.19208658315,-52839.21654032123,131355.60071348754
1089,2030-11-01,39338.27473711182,-54264.660669594494,132941.2101438181
1089,2030-12-01,36920.36722333636,-58164.21654326684,132004.95098993956
1096,2025-01-01,23379.99472808483,18931.818697770977,27828.17075839868
1096,2025-02-01,24673.23844196368,18912.751710164852,30433.72517376251
1096,2025-03-01,25752.178412380686,19004.77394600166,32499.582878759713
1096,2025-04-01,26429.085498681758,18834.3208419326,34023.85015543092
1096,2025-05-01,25988.34227638383,17633.823849587905,34342.86070317976
1096,2025-06-01,27006.8751406956,17956.521046754136,36057.22923463707
1096,2025-07-01,23533.177216439683,13836.857707769996,33229.49672510937
1096,2025-08-01,22070.034142535995,11768.185469967373,32371.88281510462
1096,2025-09-01,25240.322241771035,14366.614615753491,36114.02986778858
1096,2025-10-01,25698.226883352036,14281.268397503067,37115.185369201005
1096,2025-11-01,25726.35697017226,13790.848471497447,37661.86546884707
1096,2025-12-01,23329.439521478198,10896.990651637665,35761.88839131873
1096,2026-01-01,24620.279017291963,10751.996287406693,38488.561747177235
1096,2026-02-01,25879.487601479224,10895.7431879389,40863.232015019545
1096,2026-03-01,26728.316723246593,10737.506223272614,42719.127223220574
1096,2026-04-01,27815.473348211322,10882.759206032719,44748.18749038993
1096,2026-05-01,27065.01633276703,9241.05369500128,44888.978970532786
1096,2026-06-01,28078.25228660769,9405.70132480087,46750.80324841451
1096,2026-07-01,24250.982975233754,4766.797137469755,43735.168812997756
1096,2026-08-01,22751.88517510885,2488.5533433762284,43015.21700684147
1096,2026-09-01,25964.33397642983,4950.726592891257,46977.941359968405
1096,2026-10-01,26734.629911036987,4996.627104540446,48472.63271753353
1096,2026-11-01,26614.751936638728,4175.727106099886,49053.776767177565
1096,2026-12-01,24292.172167913755,1173.37236316103,47410.97197266648
1096,2027-01-01,26750.379850885016,1967.5017432624409,51533.25795850759
1096,2027-02-01,28022.9104999798,1876.790507465692,54169.03049249391
1096,2027-03-01,28961.809842996823,1553.5720567476783,56370.047629245964
