ZNR,DATE,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet
1075,2025-01-01,29605.162330887048,28015.19000444875,25215.711860486746
1075,2025-02-01,31688.587214868865,29853.559574231484,28750.068391179215
1075,2025-03-01,32861.71307542472,30509.952520493196,29890.97517010462
1075,2025-04-01,33279.52326594555,30190.708555727553,29152.131539929775
1075,2025-05-01,33525.72892690188,31633.44402804462,31764.09741304449
1075,2025-06-01,34998.598556564306,33406.77193664745,34560.50193821774
1075,2025-07-01,33049.204239004874,31084.702504847162,32701.998569753036
1075,2025-08-01,31521.568970009568,29220.978202093484,30765.137103908673
1075,2025-09-01,33930.43826719787,31986.952126987155,33135.86291404298
1075,2025-10-01,33431.60901208001,31140.701657635374,32025.06628776884
1075,2025-11-01,34164.5326842941,31046.9307978257,30209.117383871835
1075,2025-12-01,31188.895412010665,28131.871604405424,27589.458661165834
1075,2026-01-01,30231.64316468034,25668.861304480615,24623.748526735904
1075,2026-02-01,32350.608996875526,27924.684653431104,27751.53957431173
1075,2026-03-01,33459.6666047523,28856.906308669335,28580.396981292117
1075,2026-04-01,34065.44562103617,28654.8654071588,28346.522443760234
1075,2026-05-01,34009.26024987042,30341.605534989478,31564.380400613623
1075,2026-06-01,35463.65394999826,32215.994057237727,33902.970405640874
1075,2026-07-01,33776.12743765768,29878.214269221582,31277.064875160875
1075,2026-08-01,32360.917911745666,28011.376389443572,29362.774965680368
1075,2026-09-01,34663.94129310822,30838.986566544605,32490.754484574416
1075,2026-10-01,34315.68733110587,29961.020181988213,31509.933901648616
1075,2026-11-01,35175.01779158169,29811.476496638537,29581.452986559067
1075,2026-12-01,32152.844335405505,26914.794324660445,26361.69153519839
1075,2027-01-01,31427.045063500875,24484.660851944012,24171.223435005013
1075,2027-02-01,33533.32105903246,26764.128571416502,26883.63110668837
1075,2027-03-01,34654.93697899941,27711.980614401342,27416.526120629085
1075,2027-04-01,35211.29127854633,27517.085411587308,27698.034609351285
1075,2027-05-01,35227.6199101762,29216.710949082695,31503.167193596455
1075,2027-06-01,36684.515184788324,31096.66796688384,33363.91286816861
1075,2027-07-01,34930.312083259225,28758.527701986553,29980.487113333646
1075,2027-08-01,33485.71987670049,26891.80864741473,28112.638795473657
1075,2027-09-01,35813.67560990568,29722.61857912856,32000.330499929078
1075,2027-10-01,35426.99215939012,28843.21763606062,31135.45107137955
1075,2027-11-01,36254.043768270116,28691.020549501543,29083.46581863401
1075,2027-12-01,33242.590204047214,25795.29121247088,25270.95998394592
1075,2028-01-01,32475.16335283022,23366.803300453517,23457.260503836762
1075,2028-02-01,34583.989294263534,25647.452524279495,25745.83765990569
1075,2028-03-01,35701.983899024606,26596.08566199945,27739.515851413023
1075,2028-04-01,36270.1520232865,26401.550701125183,26506.807163061058
1075,2028-05-01,36268.13689265988,28101.81427364045,28495.02462719346
1075,2028-06-01,37724.093737794145,29982.048575452216,31728.59917862689
1075,2028-07-01,35986.14298654435,27643.89360784542,30646.26947787855
1075,2028-08-01,34548.5998380736,25777.1823368084,28710.772734567654
1075,2028-09-01,36870.17722123285,28608.150338036947,30327.63091024027
1075,2028-10-01,36492.84747271758,27728.67997295433,29073.17361824713
1075,2028-11-01,37327.75310510595,27576.35345785536,27358.540607146384
1075,2028-12-01,34313.51810239727,24680.67118330185,25345.73724180989
1075,2029-01-01,33712.11571987672,22252.264145336572,21861.40617477187
1075,2029-02-01,35820.21848290664,24532.97142252369,25395.76270546537
1075,2029-03-01,36939.03255515016,25481.642939765534,26536.669484393984
1075,2029-04-01,37504.20608132635,25287.125701912486,25797.825854210954
1075,2029-05-01,37506.680084432475,26987.420582917763,28409.79172733098
1075,2029-06-01,38962.82068683562,28867.668502219673,31206.196252501755
1075,2029-07-01,37220.80029517907,26529.512835656788,29347.69288404034
1075,2029-08-01,35781.47443669377,24662.801960148354,27410.83141819328
1075,2029-09-01,38104.60204598069,27493.77771523042,29781.55722832247
1075,2029-10-01,37724.92800479481,26614.30395512599,28670.760602053128
1075,2029-11-01,38557.864795999834,26461.97110294798,26854.811698154957
1075,2029-12-01,35544.3000149845,23566.291136913118,24235.15297545449
1075,2030-01-01,35068.04867822031,21137.888063105045,21050.600032728413
1075,2030-02-01,37176.31668666459,23418.59818576111,24178.39108031096
1075,2030-03-01,38294.915707201,24367.27158416671,25007.248487287703
1075,2030-04-01,38860.82116738439,24172.755215164612,24773.37394975963
1075,2030-05-01,38862.17386088311,25873.051630447888,27991.2319066087
1075,2030-06-01,40318.261438481044,27753.300217157503,30329.821911635383
1075,2030-07-01,38577.24324155686,25415.14451650462,27703.91638115508
1075,2030-08-01,37138.353724642075,23548.433660477214,25789.626471670912
1075,2030-09-01,39461.092452500365,26379.409795519132,28917.605990570028
1075,2030-10-01,39081.99540177401,25499.93586912428,27936.78540764565
1075,2030-11-01,39915.4167132412,25347.602706497677,26008.30449255775
1075,2030-12-01,36901.68289845495,22451.92285358607,22788.543041192075
1078,2025-01-01,66502.73557652015,65186.58967003955,64763.44038964206
1078,2025-02-01,70240.02429041889,69196.00681085314,69629.02624977307
1078,2025-03-01,69953.77269735758,69384.12290808535,68950.24910642325
1078,2025-04-01,69235.25320333349,69155.08730230204,67293.31707922088
1078,2025-05-01,69757.40531104062,68554.17475074819,69297.30844881192
1078,2025-06-01,70759.30994020705,69719.54796937513,70660.06727308956
1078,2025-07-01,64251.763076050345,61779.63042198994,63222.50597320406
1078,2025-08-01,62210.886989351915,59624.875733079425,60963.53641677741
1078,2025-09-01,70166.34855035646,68820.04445662136,70537.02420381489
1078,2025-10-01,69947.75861551966,68413.6425450703,70414.34843418954
1078,2025-11-01,68896.31893371278,68127.2875751009,68497.26059643201
1078,2025-12-01,66464.60472047029,65480.29143468272,65978.36668870726
1078,2026-01-01,66356.90022965234,64189.97114722488,64245.248497473185
1078,2026-02-01,70134.99836866476,68310.0806439894,69024.05841327073
1078,2026-03-01,69740.19402839022,68551.15688276645,68419.23294475253
1078,2026-04-01,68655.92615366251,68277.22718950298,66905.28772224596
1078,2026-05-01,69700.79164653529,67784.45275176394,68652.99547460544
1078,2026-06-01,70669.2540381385,68967.54717872551,69851.86450873683
1078,2026-07-01,64718.47667948793,61110.76557772825,62864.948290548826
1078,2026-08-01,62705.26124404103,58963.93046599934,60317.507245485875
1078,2026-09-01,70352.48603908718,68157.13451813353,70044.87467285803
1078,2026-10-01,70120.18825726541,67735.9615121925,69848.84966943212
1078,2026-11-01,68705.52816364348,67392.43698465149,68024.91154626528
1078,2026-12-01,66292.13323441205,64736.999692308,65212.31935129381
1078,2027-01-01,66294.77478209688,63453.19058641673,63728.24545608595
1078,2027-02-01,70082.29896463506,67582.16134602646,68416.71652011183
1078,2027-03-01,69662.43650315686,67827.61799849018,67887.47161339935
1078,2027-04-01,68493.73259794044,67550.71045866911,66512.86067794474
1078,2027-05-01,69659.27366040261,67066.1146132656,68000.30059739281
1078,2027-06-01,70620.01595010923,68250.66196596225,69042.01552362103
1078,2027-07-01,64797.77587611595,60400.09915706838,62509.15184017631
1078,2027-08-01,62790.94637757617,58253.914728529795,59671.3314254977
1078,2027-09-01,70367.01102943267,67447.02001432974,69549.04109909944
1078,2027-10-01,70131.5486663913,67024.79088698301,69279.09220914367
1078,2027-11-01,68633.0347308126,66677.07990580547,67546.51358713585
1078,2027-12-01,66223.86904504716,64021.035508600944,64443.903569623486
1078,2028-01-01,66097.72619374405,62737.71512222435,63020.95486128328
1078,2028-02-01,69887.42649754343,66867.34445913951,67615.53642612346
1078,2028-03-01,69461.77906517468,67113.12783369946,67020.53314372523
1078,2028-04-01,68273.58207292824,66836.00407818434,65217.08388249649
1078,2028-05-01,69466.98256431741,66352.0121142032,67473.06979052616
1078,2028-06-01,70425.94257465456,67536.66773358267,69006.25234260263
1078,2028-07-01,64633.376901992466,59686.56349718446,61121.851754527175
1078,2028-08-01,62628.02167505511,57540.427566265425,59149.38061653353
1078,2028-09-01,70187.65813932684,66733.52599610105,68565.56211693441
1078,2028-10-01,69951.4651941202,66311.21942293127,68515.55305854554
1078,2028-11-01,68433.59257560852,65963.20053078936,66503.51735970675
1078,2028-12-01,66025.40326233163,63307.11158124541,64281.744710138635
1078,2029-01-01,65978.27392404794,62023.82724770734,62076.155689188
1078,2029-02-01,69768.4766120062,66153.50511015707,66941.7415493197
