ZNR,ZNAME,STRNR,RICHTUNG_1,RICHTUNG_2,LONGITUDE,LATITUDE,BEZIRK_NAME,BEZIRK_PLZ,BEZIRK_NR,BEZIRK_CODE
1075,Reichsbrücke,B8,Leopoldstadt,Donaustadt,16.413122550105502,48.230145316671276,Donaustadt,1220,22,922
1078,Westbahnhof,B221,Wienzeile,Stadthalle,16.33839757613888,48.19268236819276,Mariahilf,1060,6,906
1089,Floridsdorfer Brücke,B226,Brigittenau,Floridsdorf,16.3825234546772,48.2463607720145,Brigittenau,1200,20,920
1096,Brigittenauer Brücke,B14,Brigittenau,Floridsdorf,16.39193086630568,48.2367589489597,Brigittenau,1200,20,920
1131,Karlsplatz,B1,Heumarkt,Wienzeile,16.372721286510952,48.199942694318565,Innere Stadt,1010,1,901
1170,Obere Donaustraße/Franz-Josefs-Kai,B227,,,16.376996234456165,48.21269404274544,Leopoldstadt,1020,2,902
1171,Obere Donaustraße,B227,Brigittenau,,16.37696323283153,48.213162508706084,Leopoldstadt,1020,2,902
1172,Franz-Josefs-Kai,B227,Erdberg,,16.377292703487896,48.2120044034063,Innere Stadt,1010,1,901
1177,Handelskai,B14,Klosterneuburg,Freudenau,16.423220043354263,48.212256594908595,Leopoldstadt,1020,2,902
1179,Brunner Straße,B12,Zentrum,Brunn am Gebirge,16.297924470918023,48.129474607857794,Liesing,1230,23,923
1180,Hochstraße,B13,Zentrum,Perchtoldsdorf,16.258615930476058,48.13203329574763,Liesing,1230,23,923
1181,Breitenfurter Straße,B13,Zentrum,Breitenfurt,16.238954847590136,48.13794039257982,Liesing,1230,23,923
1182,Simmeringer Hauptstraße,B225,Zentrum,Schwechat,16.46139223720254,48.14845459169715,Simmering,1110,11,911
1184,Himberger Straße,,Zentrum,Leopoldsdorf,16.388947783315967,48.12753436117125,Favoriten,1100,10,910
1187,Triester Straße,B17,Zentrum,Wr.Neudorf,16.3266675707357,48.13820362652035,Liesing,1230,23,923
1188,Altmannsdorfer Straße,B224,Zentrum,Vösendorf,16.324611621648756,48.13812803600689,Liesing,1230,23,923
1189,Shuttleworthstraße,B229,Zentrum,Leopoldau,16.411684748849964,48.27081520820866,Floridsdorf,1210,21,921
1190,Angyalföldsrtaße,B3,Kagran,Floridsdorf,16.425064714494475,48.255010058179145,Floridsdorf,1210,21,921
1191,Wientalstraße,B1,Zentrum,St.Pölten,16.241016791248555,48.20081133676978,Hietzing,1130,13,913
1192,Hauptstraße,,Zentrum,St.Pölten,16.22764982163498,48.20771115518934,Penzing,1140,14,914
1193,Heiligenstädter Straße,B14,Zentrum,Klosterneuburg,16.361492841640764,48.26975893588635,Döbling,1190,19,919
1194,Prager Straße,B3,Zentrum,Langenzersdorf,16.379327690110117,48.292890441712906,Floridsdorf,1210,21,921
1195,Wagramer Straße,,Zentrum,Süßenbrunn,16.49171169433881,48.2789248140785,Donaustadt,1220,22,922
1196,Erzherzog-Karl-Straße,B3,Kagran,Großenzersdorf,16.449436021617018,48.231320595199406,Donaustadt,1220,22,922
1197,Breitenleer Straße,,Kagran,Raasdorf,16.46095057188841,48.25173546282239,Donaustadt,1220,22,922
1198,Brünner Straße,B7,Zentrum,Wolkersdorf,16.422874777142887,48.30133198308174,Floridsdorf,1210,21,921
1199,Eßlinger Hauptstraße,B3,Zentrum,Groß-Enzerdsorf,16.540165367274813,48.208362081954434,Donaustadt,1220,22,922
1200,Vorarlberger Allee West,,Zentrum,S1,16.338377983455782,48.13636698577153,Liesing,1230,23,923
1201,Vorarlberger Allee Ost,,Laxenburger Str.,S1,16.341169494083914,48.1357167907128,Liesing,1230,23,923
1202,Spange Vösendorf,,Vösendorf,S1,16.33910131634987,48.13490603122648,Liesing,1230,23,923
1203,Maria-Theresien-Straße,,F.J.Kai,,16.36615030246453,48.21653691850283,Alsergrund,1090,9,909
1204,Türkenstraße,,Währinger Str:,,16.367595284141686,48.21905602843058,Alsergrund,1090,9,909
1205,Hernalser Hauptstraße,,Dornbacher Str:,Zentrum,16.32654588508573,48.21937042464959,Hernals,1170,17,917
1206,Hütteldorfer Straße,,Hütteldorf,Zentrum,16.307006185146843,48.19896965499697,Penzing,1140,14,914
1207,Altmannsdorfer Straße II,B224,Vösendorf,Zentrum,16.31712333188604,48.163829484564324,Meidling,1120,12,912
1208,Wienerbergstraße,B225,Breitenfurter Str.,Triester Straße,16.334816969417187,48.17128854113906,Meidling,1120,12,912
1209,Atzgersdorfer Straße,,Rosenhügelstr.,Stranzenberg Br.,16.295989822389846,48.169681250216534,Hietzing,1130,13,913
1210,Koppstraße,B223,stadtauswärts,,16.321197222509106,48.2085274697457,Ottakring,1160,16,916
1211,Laxenburger Straße,B230,stadteinwärts,Vösendorf,16.355373063732372,48.131763346553704,Liesing,1230,23,923
1212,Donaustadtstraße II,B3b,A23,Kagran,16.443832333595523,48.22141578074583,Donaustadt,1220,22,922
1213,Burggasse II,,,,16.35142455051394,48.20419192438071,Neubau,1070,7,907
1214,Neustiftgasse II,,,,16.344835838840392,48.20569784259368,Neubau,1070,7,907
1215,Erzherzog-Karl-Straße III,B3,Genochplatz,Siegesplatz,16.46472828907858,48.2256274950422,Donaustadt,1220,22,922
1216,Perchtoldsdorfer Straße,,Liesinger Platz,Perchtoldsdorf,16.28103770137187,48.13216142327478,Liesing,1230,23,923
1217,Museumstraße,,Landesgerichtsstraße,Getreidemarkt,16.355726288275545,48.206856370975935,Neubau,1070,7,907
1218,Spange Leopoldsdorf,,Zentrum,Leopoldsdorf,16.389209067360028,48.128323459209824,Favoriten,1100,10,910
1219,Barawitzkagasse,,,,16.35568311670861,48.24459767716876,Döbling,1190,19,919
1220,Am Heumarkt,B1,,,16.381600677900366,48.20306149760585,Landstraße,1030,3,903
1221,Grenzackerstraße,B225,,,16.37526435884883,48.16373874764555,Favoriten,1100,10,910
1222,Universitätsring,,,,16.36071102801286,48.210637356345146,Innere Stadt,1010,1,901
1223,Adalbert-Stifter-Straße,B226,,,16.367124157258235,48.23839119336738,Brigittenau,1200,20,920
1224,Wagramer Straße II,B8,,,16.446343758431553,48.253621221659905,Donaustadt,1220,22,922
1600,Schönbrunner Straße,B1,Zentrum,,16.338352057285007,48.18596437175825,Meidling,1120,12,912
1603,Hirschstettner Straße,,S2,Kagran,16.457841338399877,48.24219642643532,Donaustadt,1220,22,922
1607,Weißgerber Lände,B227,A4,,16.395193958623583,48.209438187893234,Landstraße,1030,3,903
1608,Margaretengürtel,B221,A23,Wienzeile,16.359123135341825,48.18092392055039,Margareten,1050,5,905
1609,Währinger Gürtel Nord,,Lichtenwerder Pl.,,16.34315633133021,48.22077701555347,Währing,1180,18,918
1610,Währinger Gürtel Süd,,Wienzeile,,16.34386294314809,48.220546349183365,Alsergrund,1090,9,909
1611,Simmeringer Hauptstraße,B225,Zentrum,Schwechat,16.43958060386777,48.15593784443527,Simmering,1110,11,911
1612,Längenfeldgasse,,Wienerbergstr.,Eichenstr.,16.342529916276902,48.17488678797126,Meidling,1120,12,912
1613,Lainzer Straße,,Fasangartenstr.,Zentrum,16.283926423244417,48.17982058537905,Hietzing,1130,13,913
1614,Maxinggasse,,Montecuccolipl.,Zentrum,16.298850176988683,48.17935002741429,Hietzing,1130,13,913
1615,Gablenzgasse,B223,Zentrum,,16.3222310494669,48.20583352110842,Ottakring,1160,16,916
1616,Gersthofer Straße,,Türkenschanzpl.,Lidlg.,16.325895532870046,48.22697214800761,Währing,1180,18,918
1617,Angerer Straße,,Brünner Str.,Donaufelder Str.,16.403051767432807,48.258133123279414,Floridsdorf,1210,21,921
