ds,traffic_real,traffic_forecast_without_corona,delta,delta_percent,znr
2020-02-01,38114,25419,12695,49.94,1131
2020-02-02,38114,21593,16521,76.51,1131
2020-02-03,38114,31095,7019,22.57,1131
2020-02-04,38114,33211,4903,14.76,1131
2020-02-05,38114,33212,4902,14.76,1131
2020-02-06,38114,33226,4888,14.71,1131
2020-02-07,38114,33386,4728,14.16,1131
2020-02-08,38114,25423,12691,49.92,1131
2020-02-09,38114,21549,16565,76.87,1131
2020-02-10,38114,31016,7098,22.88,1131
2020-02-11,38114,33109,5005,15.12,1131
2020-02-12,38114,33102,5012,15.14,1131
2020-02-13,38114,33122,4992,15.07,1131
2020-02-14,38114,33303,4811,14.45,1131
2020-02-15,38114,25375,12739,50.2,1131
2020-02-16,38114,21550,16564,76.86,1131
2020-02-17,38114,31078,7036,22.64,1131
2020-02-18,38114,33243,4871,14.65,1131
2020-02-19,38114,33317,4797,14.4,1131
2020-02-20,38114,33425,4689,14.03,1131
2020-02-21,38114,33698,4416,13.1,1131
2020-02-22,38114,25866,12248,47.35,1131
2020-02-23,38114,22136,15978,72.18,1131
2020-02-24,38114,31756,6358,20.02,1131
2020-02-25,38114,34008,4106,12.07,1131
2020-02-26,38114,34162,3952,11.57,1131
2020-02-27,38114,34341,3773,10.99,1131
2020-02-28,38114,34674,3440,9.92,1131
2020-02-29,38114,26887,11227,41.76,1131
2020-03-01,35086,23190,11896,51.3,1131
2020-03-02,35086,32828,2258,6.88,1131
2020-03-03,35086,35084,2,0.01,1131
2020-03-04,35086,35225,-139,-0.39,1131
2020-03-05,35086,35377,-291,-0.82,1131
2020-03-06,35086,35669,-583,-1.63,1131
2020-03-07,35086,27829,7257,26.08,1131
2020-03-08,35086,24067,11019,45.78,1131
2020-03-09,35086,33630,1456,4.33,1131
2020-03-10,35086,35803,-717,-2.0,1131
2020-03-11,35086,35856,-770,-2.15,1131
2020-03-12,35086,35915,-829,-2.31,1131
2020-03-13,35086,36114,-1028,-2.85,1131
2020-03-14,35086,28181,6905,24.5,1131
2020-03-15,35086,24327,10759,44.23,1131
2020-03-16,35086,33804,1282,3.79,1131
2020-03-17,35086,35897,-811,-2.26,1131
2020-03-18,35086,35877,-791,-2.2,1131
2020-03-19,35086,35873,-787,-2.19,1131
2020-03-20,35086,36017,-931,-2.58,1131
2020-03-21,35086,28041,7045,25.12,1131
2020-03-22,35086,24155,10931,45.25,1131
2020-03-23,35086,33610,1476,4.39,1131
2020-03-24,35086,35691,-605,-1.7,1131
2020-03-25,35086,35670,-584,-1.64,1131
2020-03-26,35086,35673,-587,-1.65,1131
2020-03-27,35086,35833,-747,-2.08,1131
2020-03-28,35086,27878,7208,25.86,1131
2020-03-29,35086,24019,11067,46.08,1131
2020-03-30,35086,33505,1581,4.72,1131
2020-03-31,35086,35618,-532,-1.49,1131
2020-04-01,23269,35631,-12362,-34.69,1131
2020-04-02,23269,35666,-12397,-34.76,1131
2020-04-03,23269,35857,-12588,-35.11,1131
2020-04-04,23269,27929,-4660,-16.69,1131
2020-04-05,23269,24094,-825,-3.42,1131
2020-04-06,23269,33597,-10328,-30.74,1131
2020-04-07,23269,35723,-12454,-34.86,1131
2020-04-08,23269,35742,-12473,-34.9,1131
2020-04-09,23269,35778,-12509,-34.96,1131
2020-04-10,23269,35963,-12694,-35.3,1131
2020-04-11,23269,28024,-4755,-16.97,1131
2020-04-12,23269,24173,-904,-3.74,1131
2020-04-13,23269,33656,-10387,-30.86,1131
2020-04-14,23269,35759,-12490,-34.93,1131
2020-04-15,23269,35752,-12483,-34.92,1131
2020-04-16,23269,35762,-12493,-34.93,1131
2020-04-17,23269,35920,-12651,-35.22,1131
