ds,y
2016-01-01,1378
2016-01-02,1378
2016-01-03,1378
2016-01-04,1378
2016-01-05,1378
2016-01-06,1378
2016-01-07,1378
2016-01-08,1378
2016-01-09,1378
2016-01-10,1378
2016-01-11,1378
2016-01-12,1378
2016-01-13,1378
2016-01-14,1378
2016-01-15,1378
2016-01-16,1378
2016-01-17,1378
2016-01-18,1378
2016-01-19,1378
2016-01-20,1378
2016-01-21,1378
2016-01-22,1378
2016-01-23,1378
2016-01-24,1378
2016-01-25,1378
2016-01-26,1378
2016-01-27,1378
2016-01-28,1378
2016-01-29,1378
2016-01-30,1378
2016-01-31,1378
2016-02-01,1278
2016-02-02,1278
2016-02-03,1278
2016-02-04,1278
2016-02-05,1278
2016-02-06,1278
2016-02-07,1278
2016-02-08,1278
2016-02-09,1278
2016-02-10,1278
2016-02-11,1278
2016-02-12,1278
2016-02-13,1278
2016-02-14,1278
2016-02-15,1278
2016-02-16,1278
2016-02-17,1278
2016-02-18,1278
2016-02-19,1278
2016-02-20,1278
2016-02-21,1278
2016-02-22,1278
2016-02-23,1278
2016-02-24,1278
2016-02-25,1278
2016-02-26,1278
2016-02-27,1278
2016-02-28,1278
2016-02-29,1278
2016-03-01,1621
2016-03-02,1621
2016-03-03,1621
2016-03-04,1621
2016-03-05,1621
2016-03-06,1621
2016-03-07,1621
2016-03-08,1621
2016-03-09,1621
2016-03-10,1621
2016-03-11,1621
2016-03-12,1621
2016-03-13,1621
2016-03-14,1621
2016-03-15,1621
2016-03-16,1621
2016-03-17,1621
2016-03-18,1621
2016-03-19,1621
2016-03-20,1621
2016-03-21,1621
2016-03-22,1621
2016-03-23,1621
2016-03-24,1621
2016-03-25,1621
2016-03-26,1621
2016-03-27,1621
2016-03-28,1621
2016-03-29,1621
2016-03-30,1621
2016-03-31,1621
2016-04-01,1828
2016-04-02,1828
2016-04-03,1828
2016-04-04,1828
2016-04-05,1828
2016-04-06,1828
2016-04-07,1828
2016-04-08,1828
2016-04-09,1828
2016-04-10,1828
2016-04-11,1828
2016-04-12,1828
2016-04-13,1828
2016-04-14,1828
2016-04-15,1828
2016-04-16,1828
2016-04-17,1828
2016-04-18,1828
2016-04-19,1828
2016-04-20,1828
2016-04-21,1828
2016-04-22,1828
2016-04-23,1828
2016-04-24,1828
2016-04-25,1828
2016-04-26,1828
2016-04-27,1828
2016-04-28,1828
2016-04-29,1828
2016-04-30,1828
2016-05-01,1937
2016-05-02,1937
2016-05-03,1937
2016-05-04,1937
2016-05-05,1937
2016-05-06,1937
2016-05-07,1937
2016-05-08,1937
2016-05-09,1937
2016-05-10,1937
2016-05-11,1937
2016-05-12,1937
2016-05-13,1937
2016-05-14,1937
2016-05-15,1937
2016-05-16,1937
2016-05-17,1937
2016-05-18,1937
2016-05-19,1937
2016-05-20,1937
2016-05-21,1937
2016-05-22,1937
2016-05-23,1937
2016-05-24,1937
2016-05-25,1937
2016-05-26,1937
2016-05-27,1937
2016-05-28,1937
2016-05-29,1937
2016-05-30,1937
2016-05-31,1937
2016-06-01,1915
2016-06-02,1915
2016-06-03,1915
2016-06-04,1915
2016-06-05,1915
2016-06-06,1915
2016-06-07,1915
2016-06-08,1915
2016-06-09,1915
2016-06-10,1915
2016-06-11,1915
2016-06-12,1915
2016-06-13,1915
2016-06-14,1915
2016-06-15,1915
2016-06-16,1915
2016-06-17,1915
2016-06-18,1915
2016-06-19,1915
2016-06-20,1915
2016-06-21,1915
2016-06-22,1915
2016-06-23,1915
2016-06-24,1915
2016-06-25,1915
2016-06-26,1915
2016-06-27,1915
2016-06-28,1915
2016-06-29,1915
2016-06-30,1915
2016-07-01,1788
2016-07-02,1788
2016-07-03,1788
2016-07-04,1788
2016-07-05,1788
2016-07-06,1788
2016-07-07,1788
2016-07-08,1788
2016-07-09,1788
2016-07-10,1788
2016-07-11,1788
2016-07-12,1788
2016-07-13,1788
2016-07-14,1788
2016-07-15,1788
2016-07-16,1788
2016-07-17,1788
2016-07-18,1788
2016-07-19,1788
2016-07-20,1788
2016-07-21,1788
2016-07-22,1788
2016-07-23,1788
2016-07-24,1788
2016-07-25,1788
2016-07-26,1788
2016-07-27,1788
2016-07-28,1788
2016-07-29,1788
2016-07-30,1788
2016-07-31,1788
2016-08-01,1817
2016-08-02,1817
2016-08-03,1817
2016-08-04,1817
2016-08-05,1817
2016-08-06,1817
2016-08-07,1817
2016-08-08,1817
2016-08-09,1817
2016-08-10,1817
2016-08-11,1817
2016-08-12,1817
2016-08-13,1817
2016-08-14,1817
2016-08-15,1817
2016-08-16,1817
2016-08-17,1817
2016-08-18,1817
2016-08-19,1817
2016-08-20,1817
2016-08-21,1817
2016-08-22,1817
2016-08-23,1817
2016-08-24,1817
2016-08-25,1817
2016-08-26,1817
2016-08-27,1817
2016-08-28,1817
2016-08-29,1817
2016-08-30,1817
2016-08-31,1817
2016-09-01,1959
2016-09-02,1959
2016-09-03,1959
2016-09-04,1959
2016-09-05,1959
2016-09-06,1959
2016-09-07,1959
2016-09-08,1959
2016-09-09,1959
2016-09-10,1959
2016-09-11,1959
2016-09-12,1959
2016-09-13,1959
2016-09-14,1959
2016-09-15,1959
2016-09-16,1959
2016-09-17,1959
2016-09-18,1959
2016-09-19,1959
2016-09-20,1959
2016-09-21,1959
2016-09-22,1959
2016-09-23,1959
2016-09-24,1959
2016-09-25,1959
2016-09-26,1959
2016-09-27,1959
2016-09-28,1959
2016-09-29,1959
2016-09-30,1959
2016-10-01,1824
2016-10-02,1824
2016-10-03,1824
2016-10-04,1824
2016-10-05,1824
2016-10-06,1824
2016-10-07,1824
2016-10-08,1824
2016-10-09,1824
2016-10-10,1824
2016-10-11,1824
2016-10-12,1824
2016-10-13,1824
2016-10-14,1824
2016-10-15,1824
2016-10-16,1824
2016-10-17,1824
2016-10-18,1824
2016-10-19,1824
2016-10-20,1824
2016-10-21,1824
2016-10-22,1824
2016-10-23,1824
2016-10-24,1824
2016-10-25,1824
2016-10-26,1824
2016-10-27,1824
2016-10-28,1824
2016-10-29,1824
2016-10-30,1824
2016-10-31,1824
2016-11-01,1698
2016-11-02,1698
2016-11-03,1698
2016-11-04,1698
2016-11-05,1698
2016-11-06,1698
2016-11-07,1698
2016-11-08,1698
2016-11-09,1698
2016-11-10,1698
2016-11-11,1698
2016-11-12,1698
2016-11-13,1698
2016-11-14,1698
2016-11-15,1698
2016-11-16,1698
2016-11-17,1698
2016-11-18,1698
2016-11-19,1698
2016-11-20,1698
2016-11-21,1698
2016-11-22,1698
2016-11-23,1698
2016-11-24,1698
2016-11-25,1698
2016-11-26,1698
2016-11-27,1698
2016-11-28,1698
2016-11-29,1698
2016-11-30,1698
2016-12-01,1860
2016-12-02,1860
2016-12-03,1860
2016-12-04,1860
2016-12-05,1860
2016-12-06,1860
2016-12-07,1860
2016-12-08,1860
2016-12-09,1860
2016-12-10,1860
2016-12-11,1860
2016-12-12,1860
2016-12-13,1860
2016-12-14,1860
2016-12-15,1860
2016-12-16,1860
2016-12-17,1860
2016-12-18,1860
2016-12-19,1860
2016-12-20,1860
2016-12-21,1860
2016-12-22,1860
2016-12-23,1860
2016-12-24,1860
2016-12-25,1860
2016-12-26,1860
2016-12-27,1860
2016-12-28,1860
2016-12-29,1860
2016-12-30,1860
2016-12-31,1860
2017-01-01,1275
2017-01-02,1275
2017-01-03,1275
2017-01-04,1275
2017-01-05,1275
2017-01-06,1275
2017-01-07,1275
2017-01-08,1275
2017-01-09,1275
2017-01-10,1275
2017-01-11,1275
2017-01-12,1275
2017-01-13,1275
2017-01-14,1275
2017-01-15,1275
2017-01-16,1275
2017-01-17,1275
2017-01-18,1275
2017-01-19,1275
2017-01-20,1275
2017-01-21,1275
2017-01-22,1275
2017-01-23,1275
2017-01-24,1275
2017-01-25,1275
2017-01-26,1275
2017-01-27,1275
2017-01-28,1275
2017-01-29,1275
2017-01-30,1275
2017-01-31,1275
2017-02-01,1547
2017-02-02,1547
2017-02-03,1547
2017-02-04,1547
2017-02-05,1547
2017-02-06,1547
2017-02-07,1547
2017-02-08,1547
2017-02-09,1547
2017-02-10,1547
2017-02-11,1547
2017-02-12,1547
2017-02-13,1547
2017-02-14,1547
2017-02-15,1547
2017-02-16,1547
2017-02-17,1547
2017-02-18,1547
2017-02-19,1547
2017-02-20,1547
2017-02-21,1547
2017-02-22,1547
2017-02-23,1547
2017-02-24,1547
2017-02-25,1547
2017-02-26,1547
2017-02-27,1547
2017-02-28,1547
2017-03-01,1763
2017-03-02,1763
2017-03-03,1763
2017-03-04,1763
2017-03-05,1763
2017-03-06,1763
2017-03-07,1763
2017-03-08,1763
2017-03-09,1763
2017-03-10,1763
2017-03-11,1763
2017-03-12,1763
2017-03-13,1763
2017-03-14,1763
2017-03-15,1763
2017-03-16,1763
2017-03-17,1763
2017-03-18,1763
2017-03-19,1763
2017-03-20,1763
2017-03-21,1763
2017-03-22,1763
2017-03-23,1763
2017-03-24,1763
2017-03-25,1763
2017-03-26,1763
2017-03-27,1763
2017-03-28,1763
2017-03-29,1763
2017-03-30,1763
2017-03-31,1763
2017-04-01,1738
2017-04-02,1738
2017-04-03,1738
2017-04-04,1738
2017-04-05,1738
2017-04-06,1738
2017-04-07,1738
2017-04-08,1738
2017-04-09,1738
2017-04-10,1738
2017-04-11,1738
2017-04-12,1738
2017-04-13,1738
2017-04-14,1738
2017-04-15,1738
2017-04-16,1738
2017-04-17,1738
2017-04-18,1738
2017-04-19,1738
2017-04-20,1738
2017-04-21,1738
2017-04-22,1738
2017-04-23,1738
2017-04-24,1738
2017-04-25,1738
2017-04-26,1738
2017-04-27,1738
2017-04-28,1738
2017-04-29,1738
2017-04-30,1738
2017-05-01,2007
2017-05-02,2007
2017-05-03,2007
2017-05-04,2007
2017-05-05,2007
2017-05-06,2007
2017-05-07,2007
2017-05-08,2007
2017-05-09,2007
2017-05-10,2007
2017-05-11,2007
2017-05-12,2007
2017-05-13,2007
2017-05-14,2007
2017-05-15,2007
2017-05-16,2007
2017-05-17,2007
2017-05-18,2007
2017-05-19,2007
2017-05-20,2007
2017-05-21,2007
2017-05-22,2007
2017-05-23,2007
2017-05-24,2007
2017-05-25,2007
2017-05-26,2007
2017-05-27,2007
2017-05-28,2007
2017-05-29,2007
2017-05-30,2007
2017-05-31,2007
2017-06-01,1994
2017-06-02,1994
2017-06-03,1994
2017-06-04,1994
2017-06-05,1994
2017-06-06,1994
2017-06-07,1994
2017-06-08,1994
2017-06-09,1994
2017-06-10,1994
2017-06-11,1994
2017-06-12,1994
2017-06-13,1994
2017-06-14,1994
2017-06-15,1994
2017-06-16,1994
2017-06-17,1994
2017-06-18,1994
2017-06-19,1994
2017-06-20,1994
2017-06-21,1994
2017-06-22,1994
2017-06-23,1994
2017-06-24,1994
2017-06-25,1994
